,Product Name,Sale Price,Market Price,Discount Offered,Product Rating,No_of_rating,No_of_review,Product Specs,Category,Product Company
15,Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ521WS|X150...,42990,77566,14,4.2,7225,400,"[""Intel Core i5 Processor (12th Gen)"", ""8 GB DDR4 RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 Inch) Display"", ""1 Year Onsite Warranty""]",Laptop,ASUS
16,Laptop Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0186TU Thin and Light ...,41990,35999,44,4.2,426,27,"[""Intel Core i3 Processor (13th Gen)"", ""8 GB DDR4 RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 Inch) Display"", ""1 Year Onsite Warranty""]",Laptop,HP
17,Victus Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,65990,107690,28,4.4,37,3,"[""Intel Core i5 Processor (12th Gen)"", ""16 GB DDR4 RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 Inch) Display"", ""1 Year Onsite Warranty""]",Laptop,HP
18,Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,19990,186047,21,3.8,333,55,"[""Intel Celeron Dual Core Processor"", ""8 GB DDR4 RAM"", ""64 bit Windows 11 Home Operating System"", ""512 GB SSD"", ""29.46 cm (11.6 inch) Display"", ""1 Year Warranty""]",Laptop,Acer
19,IdeaPad Slim 5 AI PC Intel Core Ultra 5 125H - (16 GB/1 TB SSD/Windows 11 Home) 16IMH9 Thin and...,76990,157945,24,4.2,325,42,"[""Intel Core Ultra 5 Processor"", ""16 GB LPDDR5X RAM"", ""Windows 11 Operating System"", ""1 TB SSD"", ""40.64 cm (16 inch) Display"", ""1Yr Warranty + 1 Yr Premium Care and 1 Yr Accidental Damage Protection""]",Laptop,Lenovo
20,OMEN Intel Core i9 13th Gen 13900HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,145990,54990,40,4.2,6,0,"[""Intel Core i9 Processor (13th Gen)"", ""16 GB DDR5 RAM"", ""Windows 11 Operating System"", ""1 TB SSD"", ""40.89 cm (16.1 inch) Display"", ""1 Year Onsite Warranty""]",Laptop,HP
21,OMEN Intel Core i7 14th Gen 14650HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,119990,92990,58,4.0,118,6,"[""Intel Core i7 Processor (14th Gen)"", ""16 GB DDR5 RAM"", ""Windows 11 Operating System"", ""1 TB SSD"", ""40.89 cm (16.1 inch) Display"", ""1 Year Onsite Warranty""]",Laptop,HP
22,15s Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) fy5008TU Thin and Light Laptop,43999,58175,24,4.3,2172,161,"[""Intel Core i5 Processor (12th Gen)"", ""8 GB DDR4 RAM"", ""Windows 11 Home Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 inch) Display"", ""1 Year Carry-in Warranty""]",Laptop,HP
23,G9 Intel Core i3 13th Gen 1315U Turbo Boost with Finger Print - (16 GB/512 GB SSD/Windows 11 Pro) 2...,34999,49990,29,3.7,40,3,"[""Intel Core i3 Processor (13th Gen)"", ""16 GB DDR4 RAM"", ""64 bit Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 inch) Display"", ""MS OFFICE"", ""1 year Onsite Warrenty""]",Laptop,HP
24,AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) 15-fc0156AU Thin and Light Laptop,56831,54552,24,3.8,12,0,"[""AMD Ryzen 5 Quad Core Processor"", ""16 GB LPDDR5 RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 Inch) Display"", ""1 Year Onsite Warranty""]",Laptop,HP
